1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1644.9,5.1194e+05,28509,88272,7.0277e+05,1624,5829.6,1.6626e+05,1703.7,30779,2.984e+05,2632.3,7234.4,14193,1143.3,2.5922e+05,7397.7,19997,14588,7.9788e+05,2.7883e+05,13840,89013,4.9202e+05,2.2869e+05,2.929e+05,556.22,1.669e+05,3369.2,1.5108e+05,3.118e+05,3.1129e+05,3.1516e+05,10721,50813,19179,59930,8066.7,8961.7,1.722e+05,1928.3,3.6072e+05,19276,14113,1.4672e+05,69863,286.92,350.52,4.2305e+05,2494.6,1.9208e+05,1.2673e+05,978.84,8527.1,58112,13321,1.447e+05,2471.8,2150.1,2.6253e+05,1.4058e+05,44.026,1.3445e+05,5373.3,1.4394e+05,3340.1,37152,69935,1.0203e+05,2.3878e+05,2511.1
3260.2,4.8275e+05,20871,1.1451e+05,6.9777e+05,2351.9,1516.8,2.1034e+05,1428.6,34844,2.7662e+05,1304.5,1661.2,8458.8,2420.8,2.4262e+05,2413,13862,19660,7.1719e+05,2.8765e+05,13400,1.4821e+05,4.9271e+05,2.1801e+05,2.1562e+05,2147.2,1.9044e+05,3704.8,97315,2.9424e+05,3.1055e+05,2.8543e+05,5758.1,65919,22427,35768,8658.5,7107.8,1.6606e+05,1553.6,3.729e+05,9440.1,9910.9,1.0824e+05,43499,75.51,1010.3,3.5929e+05,884.2,2.0544e+05,1.249e+05,5293.6,4994.7,35010,2361.3,1.5419e+05,7650.3,545.99,2.3372e+05,1.2533e+05,336.06,1.2556e+05,4707.6,1.141e+05,2472.4,25189,62491,1.1766e+05,1.9438e+05,568.68
1909.2,4.6001e+05,20813,31692,7.1387e+05,234.13,2231.3,2.0101e+05,2054,15786,2.9307e+05,1020.2,2574.4,5723.2,2746.5,3.0701e+05,7783.2,3597.2,8306.2,5.0777e+05,3.1929e+05,7874.7,1.7789e+05,4.5895e+05,2.4314e+05,1.8273e+05,3638.8,2.1436e+05,6406.9,1.2135e+05,3.4074e+05,3.1037e+05,2.658e+05,3182,93567,21221,71646,8990.5,8729.3,1.7543e+05,2022.4,3.0544e+05,22105,4674.6,1.5556e+05,36534,271.62,164.29,3.7001e+05,4639.7,2.0227e+05,1.7041e+05,2280.4,5291.6,25589,2190.4,2.0515e+05,3582,573.97,2.0573e+05,1.3413e+05,177.98,1.4555e+05,3727.6,1.3564e+05,1624.7,15755,54854,1.088e+05,1.7874e+05,205.55
6076.6,4.0615e+05,15064,11110,6.8475e+05,235.93,435.28,1.787e+05,3548.6,23886,2.3485e+05,589.89,2893.2,14730,637.19,3.1103e+05,1949.7,1784.5,12878,3.3302e+05,2.4482e+05,3426.8,1.2201e+05,4.9123e+05,2.5992e+05,2.2748e+05,663.72,1.948e+05,282.25,1.3572e+05,2.0788e+05,3.3373e+05,2.2116e+05,200.5,1.2325e+05,18616,51176,5140.9,15234,1.965e+05,258.92,3.6355e+05,9891.7,5226.9,1.8509e+05,21895,610.93,262.46,3.9245e+05,1249.6,1.9429e+05,1.6385e+05,2587.3,30379,27419,1779.4,1.8496e+05,2379,1633.1,2.1189e+05,1.3686e+05,414.16,1.2251e+05,11910,1.0104e+05,163.63,11057,46986,1.3955e+05,1.8582e+05,178.41
2156.6,3.081e+05,3493.5,8817.1,6.1045e+05,90.431,6800.9,85363,223.25,14928,2.2905e+05,500.64,505.65,1411,135.82,1.7321e+05,1246.7,2489.9,13189,2.523e+05,2.0373e+05,3360.4,97083,3.8758e+05,1.1408e+05,1.2287e+05,757.75,1.3522e+05,506.53,75682,2.1287e+05,2.6142e+05,2.2089e+05,817.02,70620,8053.2,21774,3284.1,5553.1,1.2861e+05,312.33,2.7729e+05,13977,4849.1,1.3347e+05,4660.5,4134.6,285.95,3.2685e+05,504.07,1.3977e+05,1.0159e+05,5121.3,4277,11771,3329.8,1.2194e+05,765.77,8.346,1.9242e+05,84312,56.16,1.3764e+05,19317,54736,800.74,3145.5,57729,1.4345e+05,1.7654e+05,55.969
574.49,2.3637e+05,7098.4,35435,3.5209e+05,114.61,5606,78156,982.86,17924,1.7185e+05,326.97,514.75,12249,95.322,1.0594e+05,478.64,2872.8,3498.2,1.6112e+05,1.3831e+05,430.49,54027,2.7161e+05,79559,61883,59.573,1.2873e+05,709.46,59679,1.6117e+05,2.9295e+05,1.5003e+05,17.64,65928,3080.6,5589.8,607.49,4847.7,62313,3109.9,2.1208e+05,7229.6,812.38,86771,2558.1,2217.4,47.842,3.3386e+05,228.55,1.1054e+05,1.0021e+05,967.36,1510.5,5129,3649.3,88934,425.57,0.948,1.1033e+05,37275,33.381,91773,431.87,55704,86.551,310.4,16405,1.046e+05,1.1534e+05,44.545
274.64,1.4854e+05,345.99,1926.4,2.763e+05,113.11,439.38,38599,1749.1,10777,1.4022e+05,466.89,140.47,9133.4,516.79,1.2626e+05,437.14,4119.8,3533.6,1.1297e+05,71964,67.447,28063,1.1841e+05,56052,72985,51.04,1.1014e+05,792.4,46445,72901,2.6593e+05,1.0052e+05,17.231,18228,4753.5,1953.2,275.8,287.6,1.2492e+05,449.39,1.8629e+05,5107.5,13684,63995,3400.6,1187.6,104.99,2.0329e+05,33.06,72298,37018,1059.6,566.52,4257.3,22883,45746,334.08,1.299,89461,33140,21.951,50076,352.34,18820,67.799,323.37,4296.1,85393,1.1786e+05,38.858
214.24,81192,107.17,3619.3,2.0259e+05,135.45,240.01,32698,1110,21802,1.164e+05,372.97,492.8,27771,88.629,1.1974e+05,170.3,3163.7,2555,28752,37160,59.461,19086,1.0529e+05,44720,18046,20.85,1.0065e+05,116.72,32022,69168,1.7591e+05,47661,151.44,15491,1342,3812.8,352.94,296.73,94486,115.51,1.5015e+05,11594,917.55,33152,3759.5,2.432,76.315,1.6828e+05,32.396,98209,29917,1532.9,1715.8,4127.1,9146.7,23444,364.48,8.514,39285,12835,39.06,73766,195.12,21264,20.479,3604.8,3000.5,49504,77516,38.597
211.73,73454,20.926,2564.9,2.2915e+05,199.62,1303.8,27110,4532.2,8854.8,1.0796e+05,82.574,179.71,6661.2,75.52,20863,112.79,1955,3417.2,29241,78105,1001.5,15592,77907,35802,25942,27.545,1.1921e+05,1010,19347,48332,64848,81562,2096.7,24716,678.51,2745.8,180.05,1732.9,19885,976.17,1.5465e+05,4583.8,5377.5,16900,1680.7,4.528,46.296,1.3101e+05,88.943,67549,25238,70.719,854.26,9743.6,6665,16341,297.05,8.273,22623,10465,36.579,80741,370.17,27853,25.828,255.94,4779,82298,66398,50.59
344.93,48998,35.162,2307.7,1.3619e+05,162.93,1784.7,62896,32.42,15708,1.1731e+05,138.1,179.23,3293.2,151.7,55156,262.86,1567.6,7634.4,38252,51538,545.41,30088,1.3781e+05,73894,26472,17.08,64366,533.38,27660,64676,69253,58998,1428.3,32065,3115.8,6841.3,244.93,2907.7,36094,232.09,1.2364e+05,2379,4752.4,19871,1312.9,4.383,24.321,1.1214e+05,57.355,94959,35105,3459.7,5946.1,2969.4,14544,36478,454.08,8.936,23390,18715,19.25,85681,334.15,31849,35.648,173.82,9267.7,42907,45308,35.668
